name,description,url
Stableburn x402,"AI agent available on the base app w/ XMTP, shares data, and x402 income is used to buy&burn token",https://ethglobal.com/showcase/stableburn-x402-8f7s7
Mediearn,"Decentralize your own media post and earn from them, with Walrus & X402!",https://ethglobal.com/showcase/mediearn-74een
Kartikmon Battles,"A turn-based fighting game based around Kartikmon, user-drawn NFTs!",https://ethglobal.com/showcase/kartikmon-battles-xruec
BlockSense Ai,"Real-time transaction risk monitor using The Graph, Chainlink, Flask, and AI",https://ethglobal.com/showcase/blocksense-ai-a7hjd
MicroPay,MicroPay: find the right AI agent and pay them instantly in stablecoins.,https://ethglobal.com/showcase/micropay-tx7eo
coinbase-trading-ai,One-click Web3 trading bot with embedded wallets & instant token access.,https://ethglobal.com/showcase/coinbase-trading-ai-ynh17
coinbase-trading-ai,One-click Web3 trading bot with embedded wallets & instant token access.,https://ethglobal.com/showcase/coinbase-trading-ai-ynh17
MuralClash,Collaborative on-chain canvas for fan rivalries. Every stroke is permanent blockchain art.,https://ethglobal.com/showcase/muralclash-s8si2
MarkeCPrivacy,Private judging creates queryable innovation insights with the help of AI,https://ethglobal.com/showcase/markecprivacy-cnic9
NailongFi,The easiest way to earn DeFi yield from any wallet — just tap and you’re in.,https://ethglobal.com/showcase/nailongfi-6sv6n
dustoor,Convert your dust ERC20 tokens on EVMs to USDC w/ LayerZero + Circle,https://ethglobal.com/showcase/dustoor-jmfhw
Cyrup,"Decentralized marketplace for Lean theorem proving - post challenges, verify proofs, earn rewards",https://ethglobal.com/showcase/cyrup-t87d6
MetaProof,MetaProof: Community-powered validation of ERC7730 metadata for trust and transparency.,https://ethglobal.com/showcase/metaproof-nn8z4
DeFi Current,"Fast 3D arcade: live crypto becomes hazards & collectibles—learn to spot scams, bad approvals, MEV",https://ethglobal.com/showcase/defi-current-r9e31
IntentMarket,A fair marketplace where AI agents earn crypto for fulfilling human micro-intentions.,https://ethglobal.com/showcase/intentmarket-z0tip
agent-mrkt,AI agent marketplace with instant crypto payments using state channels and cross-chain transfers,https://ethglobal.com/showcase/agent-mrkt-9ip1j
Zappers,Zappers allows you to discover and launch omnichain trading bots without writing any code,https://ethglobal.com/showcase/zappers-yhtb2
Flow x402 Cheerbot,Cheerbot's a 3D printed lil robo guy. Bringing more cheer to lives and livestreams,https://ethglobal.com/showcase/flow-x402-cheerbot-fsjn2
HumanOS,Tokenizing human actions to provide universal basic income while powering the future of robotics,https://ethglobal.com/showcase/humanos-mk20p
swordAI,"AI agent that bridges, lends, borrows across Morpho, Yearn, Sushi for best yields, ofc on Katana",https://ethglobal.com/showcase/swordai-9nq1s
Oleg,Deployment on flow of click token.  This submission is for Flow's Flow Builder Pool.,https://ethglobal.com/showcase/oleg-cqe24
Agentic Economy,Cross-chain payment infrastructure that enables AI agents to autonomously pay using PYUSD,https://ethglobal.com/showcase/agentic-economy-3krxq
UpCent,"UpCent turns PayPal payments into effortless crypto savings, secured by Ledger.",https://ethglobal.com/showcase/upcent-0ujwn
FoodGenius,Cook with AI recipes and prove it on-chain—FoodGenius meets Ethereum.,https://ethglobal.com/showcase/foodgenius-xqwg2
My project,Split expenses with friends using PYUSD   blockchain payments. No crypto knowledge required! 🐝💰,https://ethglobal.com/showcase/my-project-rjay7
Incursion Roguelite,Godot-based Roguelite with Privy login integration and tradable NFT gear,https://ethglobal.com/showcase/incursion-roguelite-r87zd
YELOHook,Earn yield while your limit orders are pending using UniswapV4 Hooks.,https://ethglobal.com/showcase/yelohook-m5yfb
FlowEstate,"Mint, list & trade real estate NFTs on Flow—web3 marketplace with MetaMask.",https://ethglobal.com/showcase/flowestate-emtdi
ShopYt,A website where you can buy and exchange stuff using crypto. Supports OMS strategies as well,https://ethglobal.com/showcase/shopyt-79zko
PayStream,"PYUSD QR payments with instant transactions, expiration, and merchant analytics.",https://ethglobal.com/showcase/paystream-ee41v
Etherius,AI-powered NFT agents service using Fetch.ai to query OpenSea marketplace data and buy (x402),https://ethglobal.com/showcase/etherius-hk782
Pika Vault,Omnichain vaults with native USDC settlement and cross-chain positions.,https://ethglobal.com/showcase/pika-vault-j3g2i
Onchain Gif Portal,"An onchain GIF portal where you can share, trade and upvote GIFs!",https://ethglobal.com/showcase/onchain-gif-portal-w9kdu
Polyglot NYC,Language Learning with Multi Language Context using Spaced Repetition on Flow.,https://ethglobal.com/showcase/polyglot-nyc-7ywfu
Surr,"Fast multiplayer kart combat game - drive, eliminate rivals and Earn! Powered by Flow",https://ethglobal.com/showcase/surr-63q6q
pico.quest,"Fun photosharing app built using Privy, Walrus, and Zircuit.",https://ethglobal.com/showcase/pico-quest-0t3a4
